,sent_id,corresToken,orig_label,predicted_tag
0,5438,1,JJ,^PRP
1,5438,2,PREPOSITION^DEF^NN,^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN
2,5438,3,DEF^JJ,^DEF^JJ^DEF^JJ^DEF^JJ^DEF^JJ
3,5438,4,COP,^COP
4,5438,5,BN,^BN^BN^BN
5,5438,6,PREPOSITION^NN,^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN
6,5438,7,VB,^VB^VB
7,5438,8,IN^S_PRN,^IN^S_PRN^IN^S_PRN
8,5438,9,NN,^NN^NN
9,5438,10,PREPOSITION^NN,^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN
10,5438,11,yyDOT,^yyDOT
11,5439,1,NN,^PRP
12,5439,2,BN,^BN^BN
13,5439,3,IN^S_PRN,^IN^S_PRN^IN^S_PRN
14,5439,4,AT,^AT
15,5439,5,NNT,^NNT^NNT^NNT
16,5439,6,DEF^NN,^DEF^NN^DEF^NN^DEF^NN
17,5439,7,PREPOSITION^DEF^NN,^PREPOSITION^DEF^NN^PREPOSITION^DEF^NN
18,5439,8,DEF^JJ,^DEF^JJ^DEF^JJ^DEF^JJ
19,5439,9,yyCM,^yyCM
20,5439,10,AT,^AT
21,5439,11,NNT,^NNT^NNT
22,5439,12,DEF^NN,^DEF^NN^DEF^NN^DEF^NN^DEF^NN
23,5439,13,DEF^JJ,^DEF^JJ^DEF^JJ^DEF^JJ^DEF^JJ
24,5439,14,REL^VB,^REL^VB^REL^VB^REL^VB
25,5439,15,IN^S_PRN,^IN^S_PRN
26,5439,16,yyCM,^yyCM
27,5439,17,IN,^IN
28,5439,18,PREPOSITION^NN,^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN
29,5439,19,yyCM,^yyCM
30,5439,20,CONJ^IN,^CONJ^IN^CONJ^IN
31,5439,21,PREPOSITION^NN,^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN
32,5439,22,CONJ^BNT,^CONJ^NNT^CONJ^NNT^CONJ^NNT^CONJ^NNT
33,5439,23,NN,^NN
34,5439,24,yyDOT,^yyDOT
35,5440,1,BN,^BN^BN
36,5440,2,NNT,^NNT^NNT
37,5440,3,NNP,^DEF^NNP^DEF^NNP^DEF^NNP^DEF^NNP^DEF^NNP
38,5440,4,yyCM,^yyCM
39,5440,5,NNP,^NNP^NNP
40,5440,6,NNP,^NNP^NNP
41,5440,7,yyCLN,^yyCLN
42,5440,8,VB,^VB^VB^VB
43,5440,9,RB,^RB^RB
44,5440,10,REL^MD,^REL^MD^REL^MD^REL^MD
45,5440,11,COP,^COP
46,5440,12,NN,^NN^NN
47,5440,13,JJ,^JJ
48,5440,14,POS,^POS
49,5440,15,NN,^NN^NN^NN
50,5440,16,PREPOSITION^NN,^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN
51,5440,17,PRP,^PRP
52,5440,18,POS,^POS
