,sent_id,corresToken,orig_label,predicted_tag
0,1,1,CDT,^CD
1,1,2,NN,^NN
2,1,3,BN,^BN^BN
3,1,4,PREPOSITION^NNP,^PREPOSITION^NNP^PREPOSITION^NNP^PREPOSITION^NNP
4,1,5,PREPOSITION^NNP,^PREPOSITION^NNP
5,1,6,TEMP^PRP,^TEMP^PRP^TEMP^PRP^TEMP^PRP
6,1,7,BN,^BN^BN^BN
7,1,8,PREPOSITION^NN,^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN^PREPOSITION^NN
8,1,9,yyCM,^yyCM
9,1,10,CC,^CC
10,1,11,RB,^RB
11,1,12,BN,^BN^BN
12,1,13,NN,^NN^NN
13,1,14,JJ,^JJ^JJ^JJ
14,1,15,JJ,^JJ^JJ
15,1,16,yyDOT,^yyDOT
16,2,1,NN,^NN^NN
17,2,2,PRP,^PRP
18,2,3,VB,^VB^VB^VB^VB
19,2,4,RB,^RB^RB^RB
20,2,5,PREPOSITION^NNT,^PREPOSITION^NNT^PREPOSITION^NNT^PREPOSITION^NNT
21,2,6,DEF^NN,^DEF^NN
22,2,7,CONJ^DEF^NN,^CONJ^DEF^NN^CONJ^DEF^NN^CONJ^DEF^NN^CONJ^DEF^NN
23,2,8,POS,^POS
24,2,9,DEF^NNP,^DEF^NNP
25,2,10,yyCM,^yyCM
26,2,11,REL^VB,^REL^VB^REL^VB^REL^VB
27,2,12,PREPOSITION^NNT,^PREPOSITION^NNT
28,2,13,NNT,^NNT^NNT^NNT^NNT
29,2,14,NN,^NN^NN
30,2,15,JJ,^JJ^JJ
31,2,16,yyDOT,^yyDOT
32,3,1,NNT,^NNT^NNT^NNT
33,3,2,DEF^NN,^DEF^NN
34,3,3,yyCM,^yyCM
35,3,4,NN,^NN^NN^NN
36,3,5,NNP,^NNP^NNP
37,3,6,NNP,^NNP^NNP
38,3,7,yyLRB,^yyLRB
39,3,8,NNP,^NNP^NNP
40,3,9,yyRRB,^yyRRB
41,3,10,yyCM,^yyCM
